system,kind,M,K,N,run,num_solutions,rewrite_time_ms,solver_time_ms,solution_translation_time_ms,conjure_solve_e2e_ms
conjure,matrix,2,2,1,1,4,412.2849,0.086,397.9274,810.2983
conjure,matrix,2,2,2,1,16,530.7728,0.228,376.686,907.6868
conjure,matrix,2,2,3,1,64,441.6139,0.151,596.3524,1038.1173
conjure,matrix,2,2,4,1,256,721.0935,0.752,1391.4302,2113.2757
conjure,matrix,2,2,5,1,1024,725.72,4.038,4137.2811,4867.0391
conjure,matrix,2,2,6,1,4096,536.2942,16.193,16360.5276,16913.0148
conjure,matrix,2,2,7,1,16384,811.8846,33.943,68317.9599,69163.7875
conjure,matrix,2,2,8,1,65536,865.7149,331.018,285346.6097,286543.3426
conjure,record,2,2,1,1,4,396.5831,0.099,474.3219,871.004
conjure,record,2,2,2,1,16,488.8922,0.314,608.567,1097.7732
conjure,record,2,2,3,1,64,410.3719,0.491,594.5496,1005.4125
conjure,record,2,2,4,1,256,700.282,0.814,1266.0075,1967.1035
conjure,record,2,2,5,1,1024,725.8391,5.022,4314.4691,5045.3302
conjure,record,2,2,6,1,4096,521.0333,7.928,16301.358,16830.3193
conjure,record,2,2,7,1,16384,667.5213,49.006,68285.8072,69002.3345
conjure,record,2,2,8,1,65536,514.1707,166.937,285211.0204,285892.1281
oxide,matrix,2,2,1,1,4,1.1495,1.3197,0.0203,
oxide,matrix,2,2,2,1,16,1.0443,1.2538,0.0353,
oxide,matrix,2,2,3,1,64,1.3272,2.294,0.1924,
oxide,matrix,2,2,4,1,256,1.6509,6.713,0.9422,
oxide,matrix,2,2,5,1,1024,3.5199,51.0497,8.3073,
oxide,matrix,2,2,6,1,4096,4.0975,214.6414,32.9774,
oxide,matrix,2,2,7,1,16384,4.4997,638.7882,104.6965,
oxide,matrix,2,2,8,1,65536,2.8993,2804.8412,527.1123,
oxide,record,2,2,1,1,4,1.984,1.4222,0.0187,
oxide,record,2,2,2,1,16,3.0753,2.0695,0.0913,
oxide,record,2,2,3,1,64,4.1333,3.3458,0.282,
oxide,record,2,2,4,1,256,5.6639,22.8087,2.8154,
oxide,record,2,2,5,1,1024,4.7617,101.744,14.2181,
oxide,record,2,2,6,1,4096,5.1483,279.8814,51.2403,
oxide,record,2,2,7,1,16384,9.0744,1257.9673,176.0437,
oxide,record,2,2,8,1,65536,10.8578,5859.0126,806.3092,
