system,kind,M,N,run,num_solutions,rewrite_time_ms,solver_time_ms,solution_translation_time_ms,conjure_solve_e2e_ms
conjure,matrix,2,1,1,4,607.6184,0.101,101.8972,709.6166
conjure,matrix,2,2,1,16,667.7553,0.109,396.7585,1064.6228
conjure,matrix,2,3,1,256,679.2448,1.172,1054.3403,1734.7571
conjure,matrix,2,4,1,65536,415.9606,161.385,254878.005,255455.3506
conjure,record,2,1,1,4,630.7614,0.0,248.4954,879.2568
conjure,record,2,2,1,16,645.2254,0.112,367.199,1012.5364
conjure,record,2,3,1,256,409.443,0.016,1325.7921,1735.2511
conjure,record,2,4,1,65536,707.1405,299.932,317389.8835,318396.956
oxide,matrix,2,1,1,4,0.7411,1.0104,0.0108,
oxide,matrix,2,2,1,16,1.4475,1.3944,0.0474,
oxide,matrix,2,3,1,256,5.6609,35.5681,2.7803,
oxide,matrix,2,4,1,65536,6.9995,14192.2329,1014.4499,
oxide,record,2,1,1,4,1.1992,0.9717,0.0148,
oxide,record,2,2,1,16,3.7857,1.7756,0.0766,
oxide,record,2,3,1,256,22.8334,75.6502,2.807,
oxide,record,2,4,1,65536,66.4664,42509.5044,1718.2789,
